3460,98161745
2594,98166745
1675,98171745
944,98176745
814,98181745
1036,98186745
1235,98191745
1336,98196745
1389,98201745
1409,98206745
1420,98211745
1453,98216745
1477,98221745
1518,98226745
1546,98231745
1600,98236745
1643,98241745
1650,98246745
1672,98251745
1690,98256745
1720,98261745
1746,98266745
1770,98271745
1791,98276745
1816,98281745
1834,98286745
1857,98291745
1886,98296745
1917,98301745
1933,98306745
1944,98311745
1969,98316745
1989,98321745
1987,98326745
2001,98331745
2039,98336745
2080,98341745
2095,98346745
2106,98351745
2156,98356745
2152,98361745
2152,98366745
2162,98371745
2187,98376745
2218,98381745
2236,98386745
2251,98391745
2264,98396745
2308,98401745
2287,98406745
2243,98411745
2212,98416745
2169,98421745
2099,98426745
2010,98431745
1964,98436745
1907,98441745
1841,98446745
1815,98451746
1797,98456746
1815,98461745
1832,98466745
1858,98471745
1889,98476745
1907,98481745
1926,98486745
1931,98491745
1957,98496745
1986,98501745
1971,98506745
1963,98511745
1964,98516745
1975,98521745
1967,98526745
1927,98531745
1893,98536745
1883,98541745
1893,98546745
1863,98551745
1838,98556745
1823,98561745
1798,98566745
1785,98571745
1793,98576745
1767,98581745
1731,98586745
1689,98591745
1697,98596745
1701,98601745
1710,98606745
1703,98611746
1684,98616748
1685,98621745
1695,98626745
1690,98631745
1695,98636745
1696,98641745
1685,98646745
1685,98651745
1711,98656745
1722,98661745
1724,98666745
1693,98671745
1724,98676745
1763,98681745
1769,98686745
1771,98691745
1801,98696745
1877,98701745
1954,98706745
2012,98711745
2085,98716745
2181,98721745
2241,98726745
2303,98731745
2377,98736745
2374,98741745
2260,98746745
2193,98751745
2208,98756745
2173,98761745
1983,98766745
1723,98771745
1567,98776745
1495,98781745
1429,98786745
1405,98791745
1416,98796745
1436,98801745
1442,98806745
1453,98811745
1469,98816745
1441,98821745
1397,98826745
1493,98831745
1819,98836745
2250,98841745
2674,98846745
3097,98851745
3609,98856745
3744,98861745
3026,98866745
2001,98871745
1089,98876745
733,98881745
831,98886745
1072,98891745
1266,98896745
1320,98901745
1329,98906745
1371,98911745
1420,98916745
1443,98921745
1460,98926745
1500,98931745
1562,98936745
1601,98941745
1600,98946745
1632,98951748
1670,98956746
1704,98961745
1732,98966745
1741,98971745
1762,98976745
1794,98981745
1792,98986745
1819,98991745
1852,98996745
1874,99001745
1906,99006745
1924,99011745
1947,99016745
1970,99021745
1976,99026745
1974,99031745
1990,99036745
2040,99041745
2066,99046745
2079,99051745
2096,99056745
2131,99061745
2140,99066745
2132,99071745
2136,99076745
2177,99081745
2204,99086745
2208,99091745
2232,99096745
2271,99101745
2283,99106745
2264,99111745
2263,99116745
2227,99121745
2164,99126745
2089,99131745
2007,99136745
1956,99141745
1898,99146745
1839,99151745
1824,99156745
1822,99161745
1850,99166745
1857,99171745
1887,99176745
1911,99181745
1929,99186745
1939,99191745
1983,99196745
1997,99201745
1978,99206745
1968,99211745
1964,99216745
1977,99221745
1967,99226745
1958,99231745
1937,99236745
1916,99241745
1899,99246745
1866,99251745
1851,99256745
1876,99261745
1844,99266745
1804,99271745
1787,99276745
1788,99281745
1783,99286745
1729,99291745
1728,99296745
1727,99301745
1719,99306745
1697,99311745
1718,99316745
1732,99321745
1721,99326745
1690,99331745
1680,99336745
1693,99341745
1712,99346745
1701,99351745
1715,99356745
1733,99361745
1766,99366745
1781,99371745
1828,99376745
1897,99381745
1950,99386745
2013,99391745
2077,99396745
2139,99401745
2194,99406745
2293,99411745
2366,99416745
2320,99421745
2212,99426745
2165,99431745
2176,99436745
2099,99441745
1901,99446745
1632,99451748
1495,99456746
1434,99461745
1374,99466745
1378,99471745
1392,99476745
1428,99481745
1448,99486745
1436,99491745
1472,99496745
1409,99501745
1345,99506745
1429,99511745
1716,99516745
2081,99521747
2488,99526745
2922,99531745
3515,99536745
3733,99541745
3037,99546745
2048,99551745
1167,99556745
807,99561745
917,99566745
1150,99571745
1307,99576745
1367,99581745
1381,99586745
1396,99591745
1406,99596745
1448,99601745
1484,99606746
1500,99611748
1564,99616745
1606,99621745
1646,99626745
1655,99631745
1651,99636745
1690,99641745
1723,99646745
1754,99651745
1768,99656745
1810,99661745
1829,99666745
1830,99671745
1864,99676745
1914,99681745
1914,99686745
1921,99691745
1936,99696745
1966,99701745
1997,99706745
1995,99711745
2015,99716745
2074,99721745
2075,99726745
2084,99731745
2117,99736745
2132,99741745
2126,99746745
2133,99751745
2133,99756745
2152,99761745
2192,99766745
2230,99771745
2229,99776745
2247,99781745
2261,99786745
2245,99791745
2219,99796745
2197,99801745
2123,99806745
2060,99811745
1979,99816745
1913,99821745
1863,99826745
1832,99831745
1818,99836745
1810,99841745
1819,99846745
1824,99851745
1853,99856745
1884,99861745
1903,99866745
1922,99871745
1942,99876745
1953,99881745
1962,99886745
1949,99891745
1955,99896745
1963,99901745
1983,99906745
1981,99911745
1955,99916745
1937,99921745
1909,99926745
1897,99931745
1874,99936745
1873,99941745
1844,99946745
1795,99951745
1806,99956745
1800,99961745
1776,99966745
1752,99971745
1761,99976745
1737,99981745
1748,99986745
1735,99991745
1704,99996745
1714,100001745
1696,100006745
1705,100011745
1720,100016745
1709,100021745
1682,100026745
1676,100031747
1708,100036745
1737,100041745
1781,100046745
1842,100051745
1905,100056745
1993,100061745
2050,100066745
2085,100071745
2150,100076745
2230,100081745
2342,100086745
2405,100091745
2359,100096745
2255,100101745
2203,100106745
2189,100111745
2095,100116745
1883,100121745
1639,100126745
1470,100131745
1394,100136745
1385,100141745
1385,100146745
1364,100151745
1386,100156745
1408,100161745
1432,100166745
1446,100171745
1412,100176745
1342,100181745
1393,100186745
1654,100191745
1992,100196745
2320,100201745
2721,100206745
3265,100211745
3544,100216745
2950,100221745
1976,100226745
1141,100231745
821,100236745
1008,100241745
1252,100246745
1369,100251745
1390,100256745
1414,100261745
1422,100266745
1438,100271745
1483,100276745
1524,100281745
1551,100286745
1582,100291745
1620,100296745
1657,100301745
1673,100306745
1682,100311745
1720,100316745
1762,100321745
1789,100326745
1803,100331745
1807,100336745
1846,100341745
1864,100346745
1891,100351745
1928,100356745
1947,100361745
1955,100366745
1979,100371745
2014,100376745
2065,100381745
2050,100386745
2071,100391745
2113,100396745
2155,100401745
2169,100406745
2164,100411745
2178,100416745
2189,100421745
2176,100426745
2170,100431745
2171,100436745
2212,100441745
2213,100446745
2219,100451745
2270,100456745
2269,100461745
2282,100466745
2210,100471745
2165,100476745
2123,100481745
2048,100486745
1950,100491745
1873,100496745
1810,100501745
1763,100506745
1763,100511745
1746,100516748
1762,100521746
1798,100526746
1801,100531745
1844,100536745
1871,100541745
1870,100546745
1896,100551745
1928,100556745
1960,100561745
1945,100566745
1930,100571745
1941,100576745
1976,100581745
1980,100586745
1977,100591745
1949,100596745
1945,100601746
1923,100606748
1881,100611745
1858,100616745
1872,100621745
1852,100626745
1810,100631745
1763,100636745
1794,100641745
1767,100646745
1746,100651745
1721,100656745
1743,100661745
1721,100666745
1696,100671745
1707,100676745
1679,100681745
1699,100686745
1695,100691745
1694,100696745
1692,100701745
1692,100706745
1686,100711745
1701,100716745
1718,100721745
1746,100726745
1779,100731745
1855,100736745
1938,100741745
2001,100746745
2077,100751745
2165,100756745
2209,100761745
2275,100766745
2369,100771745
2381,100776745
2296,100781745
2207,100786745
2183,100791745
2153,100796745
2022,100801745
1758,100806745
1540,100811745
1434,100816745
1366,100821745
1355,100826745
1337,100831745
1355,100836745
1400,100841745
1406,100846745
1423,100851745
1422,100856745
1369,100861745
1324,100866745
1462,100871745
1816,100876745
2138,100881745
2495,100886745
2917,100891745
3422,100896745
3289,100901745
2428,100906745
1540,100911745
889,100916745
843,100921745
1093,100926745
1329,100931745
1409,100936745
1437,100941745
1409,100946745
1464,100951745
1501,100956745
1528,100961745
1576,100966745
1605,100971745
1628,100976745
1680,100981745
1701,100986745
1704,100991745
1755,100996745
1773,101001745
1789,101006745
1796,101011745
1784,101016747
1850,101021747
1883,101026745
1903,101031745
1918,101036745
1944,101041745
1951,101046745
1977,101051745
1995,101056745
2026,101061745
2079,101066745
2104,101071745
2125,101076745
2151,101081745
2164,101086745
2156,101091745
2157,101096745
2188,101101745
2202,101106745
2211,101111745
2214,101116746
2243,101121746
2256,101126745
2265,101131745
2281,101136745
2270,101141745
2260,101146745
2226,101151745
2192,101156745
2143,101161745
2059,101166745
1970,101171745
1903,101176745
1848,101181745
1797,101186745
1781,101191745
1780,101196745
1783,101201745
1782,101206745
1789,101211745
1842,101216745
1888,101221745
1897,101226745
1916,101231745
1948,101236745
1954,101241745
1942,101246745
1929,101251745
1947,101256745
1968,101261745
1964,101266745
1931,101271745
1913,101276745
1924,101281745
1916,101286745
1892,101291745
1886,101296745
1896,101301745
1855,101306745
1833,101311745
1832,101316745
1837,101321745
1806,101326745
1772,101331745
1769,101336745
1774,101341745
1750,101346745
1723,101351745
1725,101356745
1730,101361745
1723,101366745
1731,101371745
1751,101376745
1748,101381745
1726,101386745
1705,101391745
1704,101396745
1737,101401745
1748,101406745
1745,101411745
1764,101416745
1767,101421745
1770,101426745
1768,101431745
1775,101436745
1804,101441745
1825,101446745
1866,101451745
1959,101456745
2045,101461745
2096,101466745
2160,101471745
2216,101476745
2306,101481745
2420,101486745
2464,101491745
2416,101496745
2330,101501745
2254,101506745
2213,101511745
2095,101516745
1866,101521745
1628,101526745
1481,101531745
1402,101536745
1390,101541745
1400,101546745
1403,101551745
1411,101556745
1421,101561745
1440,101566745
1452,101571745
1436,101576745
1404,101581745
1474,101586745
1726,101591745
2049,101596748
2377,101601745
2715,101606745
3153,101611745
3264,101616746
2616,101621747
1730,101626746
1006,101631745
806,101636745
1036,101641745
1313,101646745
1457,101651745
1497,101656745
1524,101661745
1544,101666745
1547,101671745
1564,101676745
1615,101681745
1658,101686745
1669,101691745
1701,101696745
1739,101701745
1754,101706745
1762,101711745
1789,101716745
1810,101721745
1852,101726745
1884,101731745
1907,101736745
1926,101741745
1942,101746745
1936,101751745
1978,101756745
2002,101761745
2005,101766745
2018,101771745
2048,101776745
2079,101781745
2106,101786745
2097,101791745
2121,101796745
2149,101801745
2163,101806745
2187,101811745
2199,101816745
2202,101821745
2205,101826745
2204,101831745
2190,101836745
2218,101841745
2261,101846745
2246,101851745
2264,101856745
2278,101861745
2271,101866745
2205,101871745
2165,101876745
2115,101881745
2053,101886745
1960,101891745
1885,101896745
1850,101901745
1794,101906745
1768,101911745
1755,101916745
1760,101921745
1792,101926745
1791,101931745
1828,101936745
1868,101941745
