15,255,60
15,255,255
15,255,62
15,255,60
15,255,60
15,255,83
15,255,113
15,255,134
15,255,155
15,255,199
15,255,184
15,255,97
15,255,67
15,255,77
15,255,110
15,255,118
15,255,118
15,255,127
15,240,138
15,225,141
15,210,134
15,196,131
15,181,140
15,166,145
15,151,136
15,136,136
15,121,137
15,106,148
15,91,131
15,76,123
15,76,146
15,73,126
15,73,138
15,73,151
15,73,130
15,73,123
15,73,136
51,73,157
111,72,142
167,72,128
171,71,72
171,72,255
171,72,92
167,72,60
167,71,60
167,71,69
167,70,103
167,69,132
163,69,156
163,69,180
163,69,194
159,68,109
159,68,81
159,68,85
155,68,91
155,68,104
151,67,129
151,67,131
151,67,126
147,66,128
147,66,130
143,66,137
143,66,131
139,65,128
139,65,145
139,65,143
135,65,138
135,65,126
131,65,138
131,65,174
127,68,255
127,66,60
123,66,60
123,66,65
119,66,93
119,67,112
119,67,135
115,68,182
115,68,214
111,69,156
111,69,71
111,70,60
107,71,83
107,71,103
103,72,125
103,73,127
103,74,117
99,74,123
99,75,132
99,76,140
95,76,145
95,76,146
95,77,153
95,78,144
91,78,128
91,79,124
91,80,255
91,81,255
87,82,60
87,81,60
87,80,61
87,80,92
87,80,101
87,80,134
87,80,184
87,80,200
87,80,124
87,79,61
87,78,60
87,77,85
87,76,108
87,76,123
87,76,121
87,76,107
87,75,139
91,75,141
91,74,134
91,73,136
91,72,132
95,71,134
95,70,145
95,70,147
99,69,148
99,68,141
99,68,156
103,67,140
103,66,140
107,64,143
107,64,255
111,66,255
111,65,60
115,65,60
115,65,65
119,65,88
119,64,114
123,64,146
123,65,181
127,65,186
131,66,138
131,67,75
135,67,64
135,67,84
139,68,115
139,68,118
143,68,114
143,69,111
147,70,140
151,71,137
151,72,114
151,73,122
155,74,140
155,75,152
159,76,138
159,76,144
163,77,147
163,79,130
163,80,139
167,82,149
167,82,139
167,82,116
171,83,142
171,84,140
171,84,139
175,84,125
175,84,150
175,84,150
175,84,130
175,82,125
175,81,87
179,81,255
179,80,161
179,78,60
179,76,60
179,75,65
183,73,90
183,71,106
183,69,147
183,68,190
183,66,212
183,64,133
183,62,60
187,60,68
187,60,102
187,60,118
187,60,128
187,60,121
187,60,147
187,60,134
187,60,123
187,60,141
187,60,152
183,60,156
183,60,150
183,60,145
183,60,161
183,60,169
183,60,144
183,60,146
179,60,109
179,60,255
179,60,189
179,60,60
175,60,60
175,60,75
175,60,87
175,60,103
175,60,149
171,60,188
171,60,198
171,60,109
167,60,64
167,60,75
163,60,85
163,60,102
163,61,119
159,63,130
159,65,138
155,68,128
155,70,144
151,72,142
151,76,146
147,78,138
147,81,126
143,84,155
143,87,135
139,91,150
139,93,64
135,99,255
135,101,69
131,103,60
131,105,60
131,107,71
127,110,100
127,112,125
123,114,161
123,115,204
123,117,202
119,119,107
119,120,73
115,120,88
115,121,112
115,121,111
111,121,106
111,121,125
111,120,134
107,119,122
107,118,138
103,116,145
103,115,131
103,112,128
103,109,145
99,107,153
99,104,132
99,100,129
95,97,86
95,95,255
95,92,90
91,86,60
91,82,60
91,79,68
91,76,80
87,72,108
87,69,168
87,68,202
87,66,217
83,63,102
83,61,60
83,60,78
83,60,107
83,60,106
79,60,115
79,60,115
79,60,127
79,60,130
79,60,119
75,60,124
75,60,125
75,60,122
75,60,124
75,60,107
75,60,129
75,60,126
71,60,107
71,60,255
71,61,60
71,60,60
71,60,60
71,60,60
71,61,91
71,61,124
71,62,159
71,63,183
71,63,165
71,63,79
71,62,60
71,61,75
75,61,106
75,60,120
75,60,126
75,60,128
75,60,144
75,60,144
75,60,132
79,60,128
79,60,148
79,60,153
79,60,153
83,60,145
83,60,152
83,60,141
87,60,134
87,60,141
87,60,147
91,60,156
91,60,152
91,60,135
95,60,175
95,64,255
95,65,60
99,65,60
99,66,60
99,67,78
103,67,106
103,68,122
107,69,164
107,71,201
107,73,181
111,74,88
111,75,67
115,76,92
115,76,124
119,76,124
119,76,111
123,76,127
123,77,149
123,77,139
127,77,130
127,77,153
131,78,142
131,78,138
135,77,153
135,77,145
139,77,135
139,77,130
139,76,152
143,76,143
143,76,124
147,73,131
147,73,142
151,73,149
151,72,132
155,72,122
155,72,141
155,71,143
159,70,129
159,70,138
163,69,130
163,68,143
163,68,88
167,69,255
167,69,75
167,69,60
171,69,60
171,69,60
171,68,72
171,69,114
175,69,156
175,69,190
175,69,176
175,70,139
179,70,88
179,71,91
179,71,105
179,72,138
183,73,147
183,73,137
183,74,122
183,74,152
183,75,144
183,75,141
183,76,130
183,76,138
183,76,148
183,77,141
183,78,129
183,78,134
187,79,145
187,79,133
187,80,136
187,78,135
187,78,155
187,79,157
187,79,133
187,79,135
187,80,154
187,80,140
187,81,130
187,80,74
187,82,255
187,82,60
187,82,60
183,82,62
183,82,89
183,82,120
183,82,137
183,82,164
183,82,192
179,83,168
179,83,81
179,82,68
179,82,68
179,82,108
175,81,108
175,81,126
175,80,113
175,79,139
171,79,139
171,78,134
171,78,133
167,77,152
167,77,159
167,76,154
167,76,136
163,76,165
163,75,162
159,75,158
159,74,83
159,76,255
155,73,83
155,72,60
151,72,65
151,71,89
147,70,98
147,70,130
